fecha_hora,producto_id,producto_nombre,cantidad,precio_unitario,total_venta,costo_unitario,margen,temperatura,humedad
2022-12-27 01:38:00.535557,PRD013,Metronidazol,1,32.5,32.5,22.8,9.7,28,alta
2022-12-27 01:38:00.535557,PRD018,Vitamina C,2,25.9,51.8,18.1,15.599999999999994,28,alta
2022-12-27 01:38:00.535557,PRD018,Vitamina C,1,25.9,25.9,18.1,7.799999999999997,28,alta
2022-12-27 01:38:00.535557,PRD006,Aspirina,1,12.9,12.9,8.5,4.4,28,alta
2022-12-27 01:38:00.535557,PRD020,Azitromicina,1,58.9,58.9,41.2,17.699999999999996,28,alta
2022-12-27 02:38:00.535557,PRD018,Vitamina C,1,25.9,25.9,18.1,7.799999999999997,28,alta
2022-12-27 03:38:00.535557,PRD007,Diclofenaco,1,25.9,25.9,18.2,7.699999999999999,28,alta
2022-12-27 03:38:00.535557,PRD007,Diclofenaco,1,25.9,25.9,18.2,7.699999999999999,28,alta
2022-12-27 03:38:00.535557,PRD010,Enalapril,1,42.5,42.5,29.8,12.7,28,alta
2022-12-27 04:38:00.535557,PRD003,Amoxicilina,1,45.0,45.0,32.0,13.0,28,alta
2022-12-27 05:38:00.535557,PRD010,Enalapril,2,42.5,85.0,29.8,25.4,28,alta
2022-12-27 05:38:00.535557,PRD016,Dexametasona,1,35.5,35.5,24.9,10.600000000000001,28,alta
2022-12-27 05:38:00.535557,PRD006,Aspirina,1,12.9,12.9,8.5,4.4,28,alta
2022-12-27 06:38:00.535557,PRD001,Paracetamol,1,15.5,15.5,10.2,5.300000000000001,28,alta
2022-12-27 06:38:00.535557,PRD001,Paracetamol,1,15.5,15.5,10.2,5.300000000000001,28,alta
2022-12-27 07:38:00.535557,PRD009,Metformina,1,38.9,38.9,27.3,11.599999999999998,28,alta
2022-12-27 07:38:00.535557,PRD008,Cetirizina,1,28.5,28.5,19.9,8.600000000000001,28,alta
2022-12-27 07:38:00.535557,PRD006,Aspirina,1,12.9,12.9,8.5,4.4,28,alta
2022-12-27 07:38:00.535557,PRD018,Vitamina C,1,25.9,25.9,18.1,7.799999999999997,28,alta
2022-12-27 07:38:00.535557,PRD011,Losartán,1,45.9,45.9,32.1,13.799999999999997,28,alta
2022-12-27 07:38:00.535557,PRD012,Atorvastatina,1,68.9,68.9,48.2,20.700000000000003,28,alta
2022-12-27 08:38:00.535557,PRD019,Complejo B,1,32.9,32.9,23.0,9.899999999999999,28,alta
2022-12-27 08:38:00.535557,PRD001,Paracetamol,1,15.5,15.5,10.2,5.300000000000001,28,alta
2022-12-27 08:38:00.535557,PRD005,Loratadina,1,22.5,22.5,15.8,6.699999999999999,28,alta
2022-12-27 08:38:00.535557,PRD001,Paracetamol,2,15.5,31.0,10.2,10.600000000000001,28,alta
2022-12-27 08:38:00.535557,PRD001,Paracetamol,2,15.5,31.0,10.2,10.600000000000001,28,alta
2022-12-27 09:38:00.535557,PRD013,Metronidazol,1,32.5,32.5,22.8,9.7,28,alta
